bien_id,com_code,bien_type,bien_carrez_1,bien_surfbat,bien_numpieces
02168AC29311,2168,Appartement,57.74,58,3
02168BP26016,2168,Appartement,78.24,75,4
02305AO1141,2305,Appartement,64.24,64,3
03190AT47772,3190,Appartement,34.46,33,2
03190AP543,3190,Appartement,124.01,77,3
03190AT47761,3190,Appartement,34.9,38,1
03190AT47747,3190,Appartement,22.19,22,1
03190AV3422,3190,Appartement,83.87,84,4
03321BZ4304,3321,Maison,107.77,112,5
03190AR1226,3190,Appartement,61.4,60,4
03321CE25212,3321,Maison,128.8,85,5
03321BP18358,3321,Appartement,58.46,59,3
03321BL7855,3321,Appartement,40.06,40,2
03190AH123133,3190,Appartement,78.3,79,4
03095BS24310,3095,Appartement,106.0,105,5
03310BD1535,3310,Appartement,74.54,80,3
03310AR37811,3310,Appartement,81.72,79,3
03310AE22114,3310,Appartement,67.64,67,4
03310AH23811,3310,Appartement,42.98,47,2
03310AW351,3310,Appartement,40.57,45,2
04209AS4567,4209,Appartement,105.71,119,4
04166G3531,4166,Appartement,106.43,133,4
04073E730274,4073,Appartement,29.74,31,1
04049AH11104,4049,Appartement,65.4,66,3
04070AE2213,4070,Appartement,144.6,120,4
04126AB5481,4126,Appartement,24.74,24,1
04209AS4429,4209,Appartement,32.89,33,1
04006AE1441,4006,Appartement,20.92,20,1
04039AC547,4039,Appartement,93.76,120,4
04096AC2646,4096,Appartement,20.73,20,1
04102G3096,4102,Appartement,26.6,27,2
04205H2136,4205,Appartement,40.0,50,3
04006A870234,4006,Appartement,27.46,26,1
04070AL25750,4070,Appartement,51.42,51,2
04070AB42932,4070,Maison,71.39,71,3
04126AB1333,4126,Appartement,41.16,49,2
04176AA1697,4176,Appartement,65.5,32,2
04006A168162,4006,Appartement,34.95,35,2
04086C4752,4086,Appartement,60.66,52,3
04073D77446,4073,Appartement,24.32,25,1
04019AK22650,4019,Appartement,23.02,23,1
04096AC156,4096,Appartement,59.73,63,2
04094G18057,4094,Appartement,33.05,33,2
04070AD39441,4070,Appartement,23.25,23,1
04070D61013,4070,Appartement,30.47,30,2
04070AE12872,4070,Appartement,28.33,29,1
04073E5567,4073,Appartement,35.97,44,1
04189Y77726,4189,Maison,20.85,32,2
04006AH14986,4006,Appartement,20.55,21,1
04145C5312,4145,Appartement,142.9,147,5
04094C23369,4094,Appartement,18.44,18,1
04073AB216112,4073,Appartement,26.76,30,1
04070AK9469,4070,Appartement,53.1,51,2
04073E72290,4073,Appartement,35.2,23,2
04094C23354,4094,Appartement,18.84,18,1
04245AB781,4245,Appartement,80.26,80,3
04088ZE30513,4088,Appartement,76.81,74,4
04209AS77226,4209,Appartement,79.54,80,3
04209AS39013,4209,Appartement,72.07,85,2
04203AA1315,4203,Appartement,29.66,29,2
04006B2100209,4006,Appartement,29.03,37,2
04112AA857,4112,Maison,82.37,79,5
04088G1132,4088,Appartement,33.8,41,2
04006A87171,4006,Appartement,19.72,19,1
04112D309235,4112,Appartement,15.0,98,4
04019AD6319,4019,Appartement,58.96,60,3
04088G148315,4088,Appartement,42.73,42,2
04094G188820,4094,Appartement,25.32,27,1
04006AE13339,4006,Appartement,14.41,20,1
04166G522,4166,Appartement,38.97,60,2
04209AS2432,4209,Appartement,44.44,35,3
04088G9211,4088,Maison,27.26,29,1
04112BN55719,4112,Appartement,83.88,84,5
04226AC851832,4226,Appartement,25.55,29,2
04139D11141,4139,Appartement,40.4,38,1
04209AS106724,4209,Appartement,136.86,44,2
04205AC215301,4205,Appartement,90.75,87,4
04151D1492,4151,Maison,59.36,66,2
04006B209932,4006,Appartement,26.99,27,1
04070AK973807,4070,Appartement,67.22,68,3
04143G4191,4143,Appartement,39.16,30,2
04094G188852,4094,Appartement,25.07,27,1
04112BR9628,4112,Appartement,63.73,68,3
04094B57413,4094,Appartement,102.87,100,4
04070BN279103,4070,Appartement,82.11,81,4
04094G178278,4094,Appartement,23.35,24,1
04112BR636240,4112,Appartement,30.05,31,1
04088G6696,4088,Appartement,49.2,51,2
04094C100051,4094,Appartement,24.25,24,1
04226AB8214,4226,Appartement,37.55,36,2
04006A875222,4006,Appartement,108.85,81,2
04226AB125102,4226,Appartement,73.99,59,3
04126AB883,4126,Appartement,28.02,28,1
04205A138726,4205,Appartement,22.91,27,1
04094C938137,4094,Appartement,27.36,27,1
04094C93856,4094,Appartement,27.22,27,1
04088F999246,4088,Maison,92.94,95,4
04094C22557,4094,Appartement,30.95,30,1
04112BR6054,4112,Appartement,62.43,60,2
04070AK9731302,4070,Appartement,35.71,36,1
04079AC67539,4079,Appartement,61.53,61,2
04094C997109,4094,Appartement,27.18,26,1
04039AB1466,4039,Appartement,18.0,18,1
04226AD1211477,4226,Appartement,24.87,25,1
04242E1022,4242,Appartement,62.85,70,3
04112AP1568,4112,Appartement,56.52,54,3
04070AK33526,4070,Appartement,52.45,70,4
04112BH6023,4112,Appartement,67.0,64,4
04096AC22240,4096,Appartement,28.48,28,1
04112BH6090,4112,Appartement,54.33,54,3
04096AC3511,4096,Appartement,35.65,46,2
04070AI7215,4070,Appartement,21.35,23,1
04226AC871301,4226,Appartement,32.84,33,1
04230C145514,4230,Appartement,19.28,19,1
04209AS77311,4209,Appartement,55.5,61,2
04070BL3113,4070,Appartement,73.48,75,4
04209AS106241,4209,Appartement,75.06,74,3
04112BR601,4112,Appartement,83.46,82,4
04049AH30042,4049,Maison,89.06,93,4
04205C134432,4205,Appartement,25.08,24,2
04006B21037,4006,Appartement,26.41,26,1
04070AK20215,4070,Appartement,54.79,54,4
04226AB1455,4226,Appartement,42.72,45,2
04088G9933,4088,Appartement,45.2,50,2
04049AH30021,4049,Appartement,44.24,45,2
04244AI9043,4244,Appartement,41.7,15,1
04019AD10613,4019,Appartement,46.21,50,2
04088G3049,4088,Appartement,64.99,63,3
04197AD654,4197,Maison,97.07,87,4
04094C938119,4094,Appartement,27.5,27,1
04088G6081,4088,Appartement,54.64,56,3
04112BP2657,4112,Appartement,44.2,52,2
04006AH129278,4006,Appartement,16.61,17,1
04088G216328,4088,Appartement,46.42,47,2
04019AC2696,4019,Appartement,25.44,26,2
04006AE21339,4006,Appartement,17.31,18,1
04070AK5124,4070,Appartement,22.9,39,1
04205D81522,4205,Appartement,46.93,30,2
04019AK43337,4019,Appartement,38.9,40,2
04178F3092,4178,Appartement,152.65,110,5
04069C13986,4069,Appartement,36.42,40,1
04022H1497,4022,Appartement,25.95,38,1
04112BR117504,4112,Appartement,53.81,53,2
04226AD116130,4226,Appartement,30.0,31,1
04073E27744,4073,Appartement,24.89,25,2
04073E27763,4073,Appartement,45.22,38,3
04073E2771,4073,Appartement,22.92,23,1
04006B2100332,4006,Appartement,11.43,15,1
04019AD996,4019,Appartement,16.81,18,1
04112BS1801,4112,Appartement,68.19,66,4
04112BS6426,4112,Appartement,59.5,63,3
04006AE21362,4006,Appartement,28.4,20,2
04039AB2902,4039,Appartement,18.26,20,1
04096C70421,4096,Maison,28.9,63,3
04226AB191007,4226,Appartement,25.9,25,1
04094C92849,4094,Appartement,30.0,28,1
04226AB98103,4226,Appartement,29.85,29,1
04189Y77728,4189,Maison,21.71,32,2
04070AI12715,4070,Appartement,69.7,66,4
04070AE2904,4070,Appartement,60.28,62,3
04112BR34811,4112,Appartement,75.3,75,3
04006AH5623,4006,Appartement,26.09,26,1
04019AH5526,4019,Appartement,64.96,46,2
04006B2100514,4006,Appartement,17.6,17,1
